sample	batch		value
32151872_EXO_S27	180322-190603	shortReads	20.3571615969439
32152211_EXO_S35	180322-190603	shortReads	17.979828435257
32151109_EXO_S17	180322-190603	shortReads	19.5614326701225
32152477_EXO_S29	180322-190603	shortReads	15.3200183814824
32151201_EXO_S23	180322-190603	shortReads	17.2433060853415
32141753_EXO_S10	180322-190603	shortReads	13.5568776468053
32150101_EXO_S3	180322-190603	shortReads	19.2397607072122
32151828_EXO_S15	180322-190603	shortReads	12.6315269013138
32152118_EXO_S1	180322-190603	shortReads	20.3684231570063
32151204_EXO_S9	180322-190603	shortReads	14.4810100537416
32151684_EXO_S13	180322-190603	shortReads	16.3473385150043
32150228_EXO_S18	180322-190603	shortReads	12.2346874434083
32152206_EXO_S33	180322-190603	shortReads	26.6742045317713
32151642_EXO_S5	180322-190603	shortReads	7.07746456345697
32151157_EXO_S31	180322-190603	shortReads	20.6937334346896
32151086_EXO_S6	180322-190603	shortReads	15.7560014735537
32150688_EXO_S20	180322-190603	shortReads	14.2439228344218
32151947_EXO_S11	180322-190603	shortReads	15.2165286083946
32151680_EXO_S22	180322-190603	shortReads	15.1706258681412
32150301_EXO_S14	180322-190603	shortReads	11.440952940677
32150744_EXO_S30	180322-190603	shortReads	25.5759416174506
32160475_EXO_S26	180626-180628-190531	readsAdapterNotFoundPerc	0.837713091612446
32161242_EXO_S7	180626-180628-190531	readsAdapterNotFoundPerc	0.830916644370593
32160187_EXO_S9	180626-180628-190531	readsAdapterNotFoundPerc	1.4769182248879
32160696_EXO_S3	180626-180628-190531	readsAdapterNotFoundPerc	1.24832934836993
32151244_EXO_S30	180626-180628-190531	readsAdapterNotFoundPerc	0.640619397730512
32161406_EXO_S4	180626-180628-190531	readsAdapterNotFoundPerc	1.15923364256706
32160790_EXO_S27	180626-180628-190531	readsAdapterNotFoundPerc	0.75983908845227
32152197_EXO_S12	180626-180628-190531	readsAdapterNotFoundPerc	1.04935962444458
32150184_EXO_S18	180626-180628-190531	readsAdapterNotFoundPerc	1.01947226550145
32161462_EXO_S13	180626-180628-190531	readsAdapterNotFoundPerc	0.852828871501528
32151184_EXO_S8	180626-180628-190531	readsAdapterNotFoundPerc	0.84458821108549
32151974_EXO_S24	180626-180628-190531	readsAdapterNotFoundPerc	1.13303500900988
32160074_EXO_S17	180626-180628-190531	readsAdapterNotFoundPerc	0.948909133689128
32151031_EXO_S19	180626-180628-190531	readsAdapterNotFoundPerc	1.67340817893272
32151484_EXO_S11	180626-180628-190531	readsAdapterNotFoundPerc	0.783284736538806
32151694_EXO_S10	180626-180628-190531	readsAdapterNotFoundPerc	1.62393944379776
32160668_EXO_S16	180626-180628-190531	readsAdapterNotFoundPerc	0.627951924458325
32152356_EXO_S21	180626-180628-190531	readsAdapterNotFoundPerc	0.663915157614063
32151971_EXO_S23	180626-180628-190531	readsAdapterNotFoundPerc	0.89129901140345
32160196_EXO_S22	180626-180628-190531	readsAdapterNotFoundPerc	0.832394493019482
32151750_EXO_S14	180626-180628-190531	readsAdapterNotFoundPerc	0.836366612914618
32150887_EXO_S28	180626-180628-190531	readsAdapterNotFoundPerc	0.940555459576172
32150225_EXO_S2	180626-180628-190531	readsAdapterNotFoundPerc	1.0436007444007
32152444_EXO_S25	180626-180628-190531	readsAdapterNotFoundPerc	0.964021242754264
32140237_EXO_S31	180626-180628-190531	readsAdapterNotFoundPerc	0.61108812675467
32150168_EXO_S6	180626-180628-190531	readsAdapterNotFoundPerc	0.944808336008168
32152194_EXO_S15	180626-180628-190531	readsAdapterNotFoundPerc	0.870467969461084
32151686_EXO_S20	180626-180628-190531	readsAdapterNotFoundPerc	0.853855440964697
32161248_EXO_S29	180626-180628-190531	readsAdapterNotFoundPerc	0.887613869889866
32161349_EXO_S5	180626-180628-190531	readsAdapterNotFoundPerc	1.43662901213919
32150855_EXO_S1	180626-180628-190531	readsAdapterNotFoundPerc	0.858207425538942
32160475_EXO_S26	180626-180628-190531	shortReads	28.0387861439974
32161242_EXO_S7	180626-180628-190531	shortReads	28.6108522126045
32160187_EXO_S9	180626-180628-190531	shortReads	32.482937282426
32160696_EXO_S3	180626-180628-190531	shortReads	21.516204526662
32151244_EXO_S30	180626-180628-190531	shortReads	22.6434196872412
32161406_EXO_S4	180626-180628-190531	shortReads	20.51084546147
32160790_EXO_S27	180626-180628-190531	shortReads	31.5885266479041
32152197_EXO_S12	180626-180628-190531	shortReads	35.46300728695
32150184_EXO_S18	180626-180628-190531	shortReads	26.9285888308328
32161462_EXO_S13	180626-180628-190531	shortReads	35.9855869213116
32151184_EXO_S8	180626-180628-190531	shortReads	26.5588708801628
32151974_EXO_S24	180626-180628-190531	shortReads	14.205556478632
32160074_EXO_S17	180626-180628-190531	shortReads	30.9700628256615
32151031_EXO_S19	180626-180628-190531	shortReads	32.410941863415
32151484_EXO_S11	180626-180628-190531	shortReads	31.2421828806643
32151694_EXO_S10	180626-180628-190531	shortReads	31.2600942807746
32160668_EXO_S16	180626-180628-190531	shortReads	28.7520424948868
32152356_EXO_S21	180626-180628-190531	shortReads	38.5987993708517
32151971_EXO_S23	180626-180628-190531	shortReads	29.6960722855363
32160196_EXO_S22	180626-180628-190531	shortReads	19.6777394871898
32151750_EXO_S14	180626-180628-190531	shortReads	31.1861806655437
32150887_EXO_S28	180626-180628-190531	shortReads	21.5564732729465
32150225_EXO_S2	180626-180628-190531	shortReads	24.3439744779964
32152444_EXO_S25	180626-180628-190531	shortReads	33.0169531043614
32140237_EXO_S31	180626-180628-190531	shortReads	31.3839500689643
32150168_EXO_S6	180626-180628-190531	shortReads	24.4715807161546
32152194_EXO_S15	180626-180628-190531	shortReads	27.2686268060646
32151686_EXO_S20	180626-180628-190531	shortReads	19.7136133234604
32161248_EXO_S29	180626-180628-190531	shortReads	31.9897158847656
32161349_EXO_S5	180626-180628-190531	shortReads	23.4419639545153
32150855_EXO_S1	180626-180628-190531	shortReads	23.1138704549632
32152388_EXO_S22	180726-190530	readsAdapterNotFoundPerc	1.04015281570857
32170641_EXO_S35	180726-190530	readsAdapterNotFoundPerc	1.38793053324581
32160652_EXO_S28	180726-190530	readsAdapterNotFoundPerc	1.53250694657706
32152480_EXO_S3	180726-190530	readsAdapterNotFoundPerc	1.19199928021823
32170419_EXO_S34	180726-190530	readsAdapterNotFoundPerc	1.3121876105277
