sample	batch		value
32161013_EXO_S11	181004-190521	shortReadsPerc	16.50461524669075
32170385_EXO_S26	181004-190521	shortReadsPerc	14.25703925162893
32150161_EXO_S32	181004-190521	shortReadsPerc	15.529651024399053
32160612_EXO_S4	181004-190521	shortReadsPerc	15.953319586992372
32161253_EXO_S18	181004-190521	shortReadsPerc	15.428907537308952
32170268_EXO_S22	181004-190521	shortReadsPerc	13.699874131144124
32170269_EXO_S23	181004-190521	shortReadsPerc	15.525118309255891
32150116_EXO_S31	181004-190521	shortReadsPerc	14.844146962288718
32161004_EXO_S10	181004-190521	shortReadsPerc	14.263686997237059
32161392_EXO_S19	181004-190521	shortReadsPerc	16.868598014868237
32160765_EXO_S8	181004-190521	shortReadsPerc	16.808620505515425
32170450_EXO_S29	181004-190521	shortReadsPerc	15.476685092257302
32160373_EXO_S3	181004-190521	shortReadsPerc	16.305079699929376
32160284_EXO_S1	181004-190521	shortReadsPerc	15.640711766613151
32170409_EXO_S27	181004-190521	shortReadsPerc	17.33766236920871
32170083_EXO_S21	181004-190521	shortReadsPerc	15.917145559031061
32161065_EXO_S14	181004-190521	shortReadsPerc	15.472642816529875
32150978_EXO_S34	181004-190521	shortReadsPerc	16.958804950656976
32161046_EXO_S13	181004-190521	shortReadsPerc	16.509783950366234
32160670_EXO_S7	181004-190521	shortReadsPerc	16.909560290152246
32170652_EXO_S30	181004-190521	shortReadsPerc	12.691202515698613
32150704_EXO_S33	181004-190521	shortReadsPerc	15.202431744844565
32170378_EXO_S26	181023-190319	shortReadsPerc	14.246428919379637
32161454_EXO_S20	181023-190319	shortReadsPerc	14.500305005674624
32160526_EXO_S15	181023-190319	shortReadsPerc	16.053868638028064
32152086_EXO_S7	181023-190319	shortReadsPerc	13.63991836770377
32151130_EXO_S2	181023-190319	shortReadsPerc	13.770602473898323
32151185_EXO_S4	181023-190319	shortReadsPerc	15.177277770195309
32170440_EXO_S27	181023-190319	shortReadsPerc	13.441513648457773
32152175_EXO_S9	181023-190319	shortReadsPerc	13.350868459721866
32152337_EXO_S10	181023-190319	shortReadsPerc	13.647791821346258
32151033_EXO_S1	181023-190319	shortReadsPerc	13.786757376912124
32170273_EXO_S23	181023-190319	shortReadsPerc	14.042554529761613
32152088_EXO_S8	181023-190319	shortReadsPerc	10.667589285549415
32151825_EXO_S6	181023-190319	shortReadsPerc	13.707770379955544
